date,home,away,spread,homeWL,awayWL
1448424000000,MIN,ATL,4,0.42857142857142855,0.625
1448424000000,ORL,NYK,9,0.42857142857142855,0.5333333333333333
1448424000000,HOU,MEM,-9,0.35714285714285715,0.5333333333333333
1448424000000,CHO,WAS,14,0.5714285714285714,0.5454545454545454
1448424000000,PHO,NOP,-6,0.5,0.21428571428571427
1448596800000,PHO,GSW,-19,0.4666666666666667,1
1448596800000,HOU,PHI,2,0.3333333333333333,0
1448596800000,SAC,MIN,-10,0.375,0.4666666666666667
1448596800000,OKC,DET,16,0.625,0.5333333333333333
1448596800000,MEM,ATL,-15,0.5625,0.5882352941176471
1448596800000,LAC,NOP,21,0.4666666666666667,0.26666666666666666
1448596800000,NYK,MIA,-19,0.5,0.6428571428571429
1448596800000,ORL,MIL,24,0.4666666666666667,0.4
1448596800000,CHO,CLE,-5,0.6,0.7333333333333333
1448596800000,BOS,WAS,33,0.5333333333333333,0.5
1448596800000,DEN,SAS,-11,0.4,0.8
1448596800000,IND,CHI,12,0.6428571428571429,0.6923076923076923
1448683200000,POR,LAL,12,0.375,0.14285714285714285
1448683200000,GSW,SAC,19,1,0.35294117647058826
1448683200000,CLE,BRK,2,0.75,0.2
1448683200000,SAS,ATL,20,0.8125,0.6111111111111112
1448683200000,DAL,DEN,11,0.5625,0.375
1448683200000,UTA,NOP,14,0.5,0.25
1448683200000,WAS,TOR,-2,0.46153846153846156,0.625
1448769600000,NYK,HOU,-5,0.47058823529411764,0.375
1448769600000,MEM,PHI,8,0.5294117647058824,0
1448769600000,ORL,BOS,19,0.5,0.5625
1448769600000,CHO,MIL,5,0.5625,0.375
1448769600000,TOR,PHO,-5,0.6470588235294118,0.4375
1448769600000,BRK,DET,4,0.1875,0.5
1448769600000,LAC,MIN,8,0.5,0.5
1448769600000,LAL,IND,-4,0.13333333333333333,0.6666666666666666
1448856000000,LAC,POR,15,0.5294117647058824,0.4117647058823529
1448856000000,DET,HOU,11,0.47058823529411764,0.4117647058823529
1448856000000,CHI,SAS,3,0.6428571428571429,0.8235294117647058
1448856000000,MIL,DEN,18,0.35294117647058826,0.35294117647058826
1448856000000,MIA,BOS,-10,0.6666666666666666,0.5294117647058824
1448856000000,UTA,GSW,-3,0.5333333333333333,1
1448856000000,ATL,OKC,6,0.5789473684210527,0.6470588235294118
1448856000000,SAC,DAL,14,0.3333333333333333,0.5882352941176471
1448942400000,BRK,PHO,3,0.23529411764705882,0.47058823529411764
1448942400000,PHI,LAL,12,0,0.125
1448942400000,MIN,ORL,-3,0.47058823529411764,0.5294117647058824
1448942400000,POR,DAL,-3,0.3888888888888889,0.5555555555555556
1448942400000,CLE,WAS,-12,0.7647058823529411,0.42857142857142855
1448942400000,NOP,MEM,-9,0.23529411764705882,0.5555555555555556
